site,word_count
eutotal,"[('pele', 25), ('maquiagem', 21), ('via', 13), ('pinterest', 13), ('passo', 12), ('negra', 9), ('tom', 7), ('fazer', 6), ('dicas', 6), ('dia', 6), ('criar', 5), ('veja', 5), ('beleza', 5), ('cores', 5), ('piercing', 5), ('produtos', 4), ('perfeição', 4), ('tons', 4), ('deslumbrante', 3), ('moda', 3), ('para', 3), ('cor', 3), ('invista', 3), ('antes', 3), ('cabelos', 3), ('clara', 3), ('base', 3), ('escolher', 3), ('já', 3), ('rosto', 3), ('noite', 3)]"
folha sp,"[('pele', 14), ('base', 14), ('folha', 9), ('ícone', 8), ('a', 8), ('assinante', 8), ('f5', 7), ('tons', 6), ('fechar', 6), ('negras', 5), ('assine', 5), ('diz', 5), ('cor', 5), ('conteúdo', 5), ('opções', 5), ('salvar', 5), ('mulheres', 4), ('achar', 4), ('benefício', 4), ('assinantes', 4), ('login', 4), ('gisele', 4), ('maquiagem', 4), ('blogueira', 4), ('marcas', 4), ('anos', 4), ('7', 4), ('acessos', 4), ('dia', 4), ('ler', 4), ('faça', 4), ('estilo', 3), ('ter', 3), ('você', 3), ('fidelis', 3), ('últimos', 3), ('qualquer', 3), ('ideal', 3), ('produtos', 3), ('natura', 3), ('diferentes', 3), ('todos', 3), ('perto', 3), ('afirmam', 3), ('seguir', 3), ('notícias', 3), ('maraisa', 3), ('já', 3), ('encontrar', 3), ('bases', 3), ('líquida', 3), ('rosto', 3), ('produto', 3), ('pode', 3)]"
gshow,"[('false', 126), ('página', 37), ('inicial', 36), ('pele', 35), ('imagem', 25), ('eliminado', 25), ('url', 25), ('imune', 25), ('monstro', 25), ('casa', 25), ('statusprioritario', 25), ('anjo', 25), ('lider', 25), ('paredao', 25), ('negra', 24), ('true', 24), ('none', 24), ('nomepopular', 24), ('gshow', 24), ('é', 22), ('globoplay', 22), ('maquiagem', 18), ('tv', 18), ('novelas', 17), ('camila', 17), ('sobre', 16), ('beleza', 16), ('brasil', 15), ('—', 15), ('bbb', 15), ('foto', 14), ('vídeos', 14), ('menu', 13), ('globo', 13), ('semanas', 13), ('carol', 12), ('realities', 11), ('the', 11), ('todos', 10), ('famosos', 10), ('gnt', 10), ('3', 10), ('nunes', 10), ('produtos', 9), ('influenciadora', 9), ('episódios', 9), ('romero', 9), ('2', 9), ('cosméticos', 8), ('moda', 8), ('primeiro', 8), ('livro', 8), ('passo', 8), ('ainda', 7), ('para', 7), ('tom', 7), ('multishow', 7), ('base', 7), ('o', 7), ('pessoal', 6), ('horas', 6), ('4', 6), ('resumos', 6), ('personagens', 6), ('mercado', 6), ('anos', 6), ('arquivo', 6), ('conta', 6), ('resumo', 6), ('tudo', 6), ('voice', 6), ('tai', 5), ('lima', 5), ('nacional', 5), ('precisa', 5), ('hoje', 5), ('namorados', 5), ('flores', 5), ('blush', 5), ('todas', 5), ('aí', 5), ('indústria', 5), ('pode', 5), ('dia', 5), ('dicas', 5), ('batom', 5), ('vem', 5), ('autora', 4), ('própria', 4), ('1', 4), ('pessoas', 4), ('fazer', 4), ('veja', 4), ('deu', 4), ('rosado', 4), ('apostou', 4), ('renascer', 4), ('participantes', 4), ('poucos', 4), ('pretas', 4), ('não', 4), ('outras', 4), ('família', 4), ('capítulo', 4), ('parceiros', 4), ('específicos', 3), ('marca', 3), ('últimos', 3), ('mulheres', 3), ('fala', 3), ('negras', 3), ('vai', 3), ('maquiadora', 3), ('12', 3), ('quartafeira', 3), ('amor', 3), ('acesse', 3), ('dá', 3), ('sábado', 3), ('no', 3), ('olhos', 3), ('combina', 3), ('paes', 3), ('fundo', 3), ('paixão', 3), ('mundo', 3), ('papo', 3), ('horóscopo', 3), ('história', 3), ('rio', 3), ('peles', 3), ('sempre', 3), ('tons', 3), ('confira', 3), ('a', 3), ('grande', 3), ('além', 3), ('maquiando', 3), ('emicida', 3), ('comportamento', 3), ('hora', 3), ('prêmio', 3), ('digital', 3), ('usar', 3), ('especial', 3), ('queijo', 3), ('receita', 3), ('rancho', 3), ('terra', 3), ('masked', 3)]"
herdeira da beleza,"[('this', 4), ('not', 4)]"
ig,"[('pele', 31), ('reprodução', 23), ('foto', 23), ('base', 22), ('maquiagem', 21), ('ig', 21), ('negra', 15), ('marca', 15), ('tons', 14), ('falta', 12), ('tom', 11), ('pessoas', 11), ('tássio', 11), ('a', 10), ('skin', 9), ('bases', 9), ('coleção', 8), ('no', 8), ('publicidade', 8), ('mundo', 6), ('apenas', 6), ('quatro', 6), ('criticada', 6), ('delas', 6), ('mais', 6), ('inclusão', 6), ('gente', 6), ('beleza', 6), ('marcas', 6), ('mulheres', 5), ('negras', 5), ('cor', 5), ('totalmente', 5), ('segundo', 5), ('youthforia', 5), ('blogs', 5), ('racismo', 5), ('anuncie', 4), ('notíciassites', 4), ('gabriel', 4), ('joão', 4), ('pedro', 4), ('filtro', 4), ('todos', 4), ('sobre', 4), ('queremos', 4), ('preta', 4), ('santos', 4), ('cosméticos', 4), ('produtos', 4), ('32', 4), ('escura', 4), ('redes', 4), ('problema', 4), ('cores', 4), ('peles', 4), ('sociais', 4), ('variedade', 4), ('aqui', 4), ('o', 4), ('pode', 4), ('pigmento', 4), ('mercado', 4), ('fale', 3), ('conosco', 3), ('brandão', 3), ('marcelo', 3), ('beautyblender', 3), ('muitas', 3), ('hoje', 3), ('vai', 3), ('marrom', 3), ('diversidade', 3), ('comentários', 3), ('colorimetria', 3), ('jornalista', 3), ('golloria', 3), ('escuro', 3), ('diz', 3), ('laboratório', 3), ('livro', 3), ('por', 3), ('dia', 3), ('rio', 3), ('grande', 3), ('ver', 3), ('siga', 3), ('outras', 3), ('política', 3), ('algumas', 3), ('encontrar', 3), ('dizer', 3), ('clique', 3), ('diversos', 3), ('entanto', 3), ('brasil', 3), ('herdeira', 3), ('pessoa', 3)]"
makeup and beauty,"[('i', 79), ('the', 66), ('at', 63), ('march', 58), ('2010', 57), ('reply', 57), ('says', 56), ('and', 54), ('to', 43), ('am', 40), ('5th', 34), ('you', 33), ('karen', 30), ('in', 25), ('of', 25), ('blog', 24), ('two', 23), ('too', 23), ('on', 22), ('pm', 22), ('have', 20), ('i’m', 20), ('up', 20), ('4th', 19), ('mac', 18), ('last', 18), ('it', 17), ('blushes', 16), ('with', 16), ('my', 16), ('post…', 15), ('is', 15), ('makeup', 15), ('beauty', 14), ('are', 14), ('rhapsody', 14), ('love', 14), ('virtues', 14), ('but', 13), ('your', 13), ('🙂', 12), ('more', 11), ('like', 11), ('think', 11), ('get', 11), ('swatches', 10), ('skin', 10), ('this', 10), ('blush', 10), ('bitone', 10), ('so', 10), ('mineralize', 9), ('just', 9), ('buddy', 9), ('from', 9), ('about', 9), ('that', 9), ('pink', 9), ('be', 9), ('out', 8), ('fabulous', 7), ('these', 7), ('color', 7), ('also', 7), ('how', 7), ('they', 7), ('collection', 6), ('go', 6), ('looks', 6), ('it’s', 6), ('i’ll', 6), ('if', 6), ('not', 6), ('chic', 6), ('comments', 5), ('was', 5), ('lip', 5), ('look', 5), ('cat', 5), ('pretty', 5), ('them', 5), ('guess', 5), ('would', 5), ('—', 5), ('counter', 5), ('light', 5), ('couple', 5), ('hi', 5), ('little', 5), ('much', 5), ('or', 5), ('today', 5), ('one', 5), ('which', 5), ('dark', 4), ('new', 4), ('an', 4), ('nc35', 4), ('colors', 4), ('good', 4), ('really', 4), ('already', 4), ('totally', 4), ('😀', 4), ('let', 4), ('than', 4), ('very', 4), ('got', 4), ('reviews', 4), ('fun', 4), ('she', 4), ('pencils', 4), ('here', 4), ('peachy', 4), ('can', 4), ('post', 4), ('all', 4), ('pick', 4), ('that’s', 4), ('want', 4), ('need', 4), ('had', 4), ('spring', 4), ('7th', 4), ('tips', 3), ('store', 3), ('’em', 3), ('though', 3), ('shades', 3), ('always', 3), ('help', 3), ('work', 3), ('sun', 3), ('tomorrow', 3), ('money', 3), ('😉', 3), ('only', 3), ('similar', 3), ('make', 3), ('daft', 3), ('touch', 3), ('you’re', 3), ('awesome', 3), ('must', 3), ('may', 3), ('product', 3), ('novato', 3), ('frosty', 3), ('any', 3), ('moon', 3), ('see', 3), ('wait', 3), ('happy', 3), ('what', 3), ('did', 3), ('either', 3), ('5', 3), ('gorgeous', 3), ('still', 3), ('will', 3), ('better', 3), ('few', 3), ('because', 3), ('could', 3), ('sugarbomb', 3), ('great', 3), ('bad', 3), ('those', 3), ('ha', 3), ('email', 3), ('vol', 3)]"
makie,"[('pele', 24), ('negra', 13), ('2019', 11), ('makie', 8), ('cores', 8), ('rosto', 8), ('maquiagem', 7), ('posted', 7), ('on', 7), ('o', 7), ('produtos', 6), ('dezembro', 6), ('responder', 6), ('oficial', 6), ('peles', 6), ('tons', 6), ('tom', 5), ('use', 5), ('bem', 5), ('dicas', 5), ('usar', 5), ('a', 5), ('sobre', 4), ('inscrevase', 4), ('makiê', 4), ('blush', 4), ('na', 4), ('fica', 4), ('receber', 3), ('para', 3), ('quentes', 3), ('dica', 3), ('negras', 3), ('março', 3), ('feliz', 3), ('blog', 3), ('atualizações', 3), ('tudo', 3), ('e', 3), ('além', 3), ('pode', 3), ('escuras', 3), ('subtom', 3), ('base', 3), ('camuflagem', 3), ('dourado', 3)]"
marie claire,"[('pele', 105), ('base', 61), ('negra', 58), ('tudo', 46), ('beleza', 42), ('r', 39), ('maquiagem', 38), ('tom', 35), ('revista', 35), ('sobre', 32), ('beauty', 30), ('claire', 26), ('marie', 26), ('voltar', 25), ('facebook', 25), ('pinterest', 25), ('twitter', 25), ('foto', 24), ('tons', 22), ('moda', 20), ('assine', 20), ('lifestyle', 20), ('cor', 17), ('marcas', 17), ('cobertura', 17), ('produtos', 15), ('whatsapp', 15), ('linkedin', 15), ('copiar', 15), ('2020', 15), ('feminismo', 15), ('colunas', 15), ('globo', 15), ('link', 15), ('2022', 14), ('matte', 14), ('editora', 13), ('líquida', 13), ('mundo', 12), ('ideal', 12), ('maria', 12), ('instagram', 12), ('dicas', 12), ('rosto', 12), ('bem', 11), ('make', 11), ('busca', 11), ('leitora', 10), ('power', 10), ('trip', 10), ('summit', 10), ('laura', 10), ('editoriais', 10), ('copyright', 10), ('©', 10), ('hd', 10), ('segundo', 10), ('achar', 10), ('fechar', 10), ('eu', 10), ('digital', 10), ('política', 10), ('princípios', 10), ('atualizado', 10), ('5', 10), ('batom', 10), ('cuidados', 10), ('divulgação', 9), ('cabelo', 9), ('sempre', 9), ('a', 9), ('bases', 9), ('subtom', 9), ('boa', 8), ('saza', 8), ('cura', 8), ('1', 8), ('iluminador', 8), ('4', 8), ('pó', 8), ('ter', 8), ('06h00', 8), ('o', 8), ('claro', 8), ('nov', 8), ('19', 7), ('marca', 7), ('ainda', 7), ('artist', 7), ('expert', 7), ('12', 7), ('corretivo', 7), ('termo', 7), ('larissa', 7), ('fenty', 7), ('brasil', 7), ('encontrar', 7), ('mylena', 7), ('mgt', 7), ('efeito', 7), ('buscas', 7), ('carol', 7), ('home', 6), ('jul', 6), ('mulheres', 6), ('textura', 6), ('vale', 6), ('blush', 6), ('20', 6), ('rosa', 6), ('vai', 6), ('diz', 6), ('saber', 6), ('famosas', 6), ('disponível', 6), ('cream', 6), ('comportamento', 6), ('cultura', 6), ('viagem', 6), ('nécessaire', 6), ('pro', 6), ('cores', 6), ('escura', 6), ('usar', 6), ('6', 6), ('natural', 6), ('up', 6), ('dia', 6), ('texturas', 5), ('buscar', 5), ('navegação', 5), ('gênero', 5), ('bemestar', 5), ('comida', 5), ('receitas', 5), ('noivas', 5), ('papo', 5), ('fontes', 5), ('torres', 5), ('gal', 5), ('barradas', 5), ('werneck', 5), ('elaine', 5), ('januário', 5), ('luiza', 5), ('voll', 5), ('mafoane', 5), ('alonso', 5), ('monica', 5), ('serino', 5), ('cidadãs', 5), ('chakian', 5), ('vivi', 5), ('duarte', 5), ('saúde', 5), ('sexo', 5), ('um', 5), ('min', 5), ('leitura', 5), ('rihanna', 5), ('negras', 5), ('vermelho', 5), ('cílios', 5), ('color', 5), ('escuro', 5), ('últimas', 5), ('anuncie', 5), ('expediente', 5), ('globocom', 5), ('google', 5), ('2019', 5), ('ensina', 5), ('centro', 5), ('usa', 5), ('digite', 5), ('menu', 5), ('assédio', 5), ('violência', 5), ('carreira', 5), ('casa', 5), ('adriana', 5), ('kastrup', 5), ('astral', 5), ('ana', 5), ('danielle', 5), ('debora', 5), ('diniz', 5), ('djaimilia', 5), ('pereira', 5), ('almeida', 5), ('jurema', 5), ('oliveira', 5), ('copo', 5), ('sem', 5), ('medida', 5), ('ancona', 5), ('odara', 5), ('neves', 5), ('rita', 5), ('silvia', 5), ('stephanie', 5), ('ribeiro', 5), ('corpo', 5), ('só', 5), ('planeta', 5), ('2', 5), ('líquido', 5), ('tipo', 5), ('gloss', 5), ('alta', 5), ('variedade', 5), ('notícias', 5), ('cadastrese', 5), ('de', 5), ('privacidade', 5), ('sac', 5), ('romero', 5), ('urban', 5), ('ultra', 5), ('melhores', 5), ('pescoço', 5), ('laterais', 5), ('oferece', 5), ('lucy', 5), ('50', 4), ('muitas', 4), ('brilho', 4), ('maquiadora', 4), ('para', 4), ('taís', 4), ('valiosas', 4), ('maquiagens', 4), ('olheiras', 4), ('mac', 4), ('maybelline', 4), ('skin', 4), ('joão', 4), ('maquiada', 4), ('acertar', 4), ('dá', 4), ('protetor', 4), ('saiba', 4), ('perfeita', 4), ('ficar', 4), ('caso', 4), ('como', 4), ('2017', 4), ('pigmentos', 4), ('3', 4), ('luz', 4), ('filtr', 4), ('cremoso', 4), ('além', 4), ('18', 4), ('15', 4), ('testar', 4), ('decay', 4), ('lom', 4), ('testa', 4), ('uso', 4), ('normalmente', 4), ('produto', 4), ('peles', 4), ('deixa', 4), ('solar', 4), ('06h01', 4), ('escuras', 4), ('testamos', 4), ('longa', 4), ('duração', 4), ('stay', 4), ('quais', 4), ('fps', 4), ('brasileiras', 3), ('duas', 3), ('cada', 3), ('seco', 3), ('219', 3), ('divas', 3), ('fundo', 3), ('compacto', 3), ('nubia', 3), ('perfeito', 3), ('hidratada', 3), ('aumento', 3), ('maior', 3), ('redação', 3), ('22', 3), ('diversidade', 3), ('26', 3), ('maiores', 3), ('comprar', 3), ('longwear', 3), ('superstay', 3), ('24', 3), ('naked', 3), ('hipoalergênica', 3), ('modelo', 3), ('especialista', 3), ('aspecto', 3), ('aplicar', 3), ('diferentes', 3), ('colo', 3), ('realçar', 3), ('explica', 3), ('difícil', 3), ('porque', 3), ('veja', 3), ('resenha', 3), ('luminosidade', 3), ('cc', 3), ('true', 3), ('perfect', 3), ('loréal', 3), ('editorial', 3), ('portfólio', 3), ('aqui', 3), ('freestyle', 3), ('bllack', 3), ('tão', 3), ('caramelo', 3), ('afri', 3), ('cartela', 3), ('muene', 3), ('anos', 3), ('pessoais', 3), ('mercado', 3), ('dificuldades', 3), ('pausa', 3), ('feminices', 3), ('nu', 3), ('forma', 3), ('uniforme', 3), ('dayane', 3), ('damasceno', 3), ('clara', 3), ('ver', 3), ('cinza', 3), ('infelizmente', 3), ('áreas', 3), ('depois', 3), ('7', 3), ('for', 3), ('preferidas', 3), ('aline', 3), ('nº', 3), ('é', 3), ('bb', 3)]"
marisa lopes,"[('base', 106), ('pele', 81), ('pode', 35), ('cobertura', 32), ('negra', 28), ('bases', 27), ('acabamento', 23), ('escolher', 22), ('mate', 19), ('duração', 19), ('melhores', 18), ('importante', 18), ('tons', 17), ('longa', 17), ('alta', 17), ('maybelline', 14), ('superstay', 14), ('ver', 14), ('ny', 13), ('active', 13), ('rosa', 12), ('a', 12), ('algumas', 12), ('opção', 11), ('resistente', 11), ('tom', 10), ('wear', 10), ('cor', 10), ('se', 10), ('boca', 10), ('payot', 10), ('mercado', 10), ('maquiagem', 9), ('05', 9), ('pouco', 9), ('encontrar', 9), ('no', 8), ('disso', 8), ('aplicar', 8), ('pessoas', 8), ('boa', 8), ('considerado', 8), ('procurando', 8), ('além', 8), ('matte', 8), ('melhor', 7), ('livre', 7), ('natural', 7), ('procura', 7), ('garantir', 6), ('difícil', 6), ('água', 6), ('stick', 6), ('rosto', 6), ('aferzov', 6), ('adriana', 6), ('by', 6), ('certa', 6), ('usuários', 6), ('dia', 6), ('textura', 5), ('amazonver', 5), ('amazon', 5), ('pó', 5), ('alguns', 5), ('fator', 5), ('proteção', 5), ('entanto', 5), ('oferecem', 5), ('variedade', 5), ('leve', 5), ('fácil', 5), ('evitar', 5), ('solar', 5), ('oleosa', 4), ('antes', 4), ('comprar', 4), ('suave', 4), ('transportar', 4), ('24', 4), ('excelente', 4), ('coleção', 4), ('9', 4), ('30h', 4), ('certifiquese', 4), ('por', 4), ('marcas', 4), ('lembrar', 4), ('quais', 4), ('ótima', 4), ('relataram', 4), ('beleza', 4), ('web', 4), ('compra', 4), ('24h', 4), ('peles', 4), ('conta', 4), ('proporciona', 4), ('suor', 4), ('é', 4), ('impecável', 3), ('ideal', 3), ('selecionamos', 3), ('cada', 3), ('aplicação', 3), ('03', 3), ('tonalidade', 3), ('perfeita', 3), ('delicada', 3), ('transparente', 3), ('óleo', 3), ('ajuda', 3), ('recomendamos', 3), ('ivory', 3), ('umidade', 3), ('horas', 3), ('ml', 3), ('pacote', 3), ('1', 3), ('vão', 3), ('claros', 3), ('em', 3), ('beauty', 3), ('como', 3), ('ingredientes', 3), ('natura', 3), ('ruby', 3), ('rose', 3), ('aqui', 3), ('blog', 3), ('durabilidade', 3), ('produto', 3), ('ao', 3), ('uniforme', 3), ('tornando', 3), ('o', 3), ('espalhar', 3), ('suficiente', 3), ('total', 3), ('geral', 3), ('prósa', 3), ('120', 3), ('classic', 3), ('30ml', 3), ('embalagem', 3), ('cores', 3), ('30', 3), ('5', 3), ('qualidade', 3), ('dificuldade', 3), ('efeito', 3), ('tipo', 3)]"
maybelline,"[('pele', 30), ('maquiagem', 16), ('negra', 15), ('tom', 12), ('corretivo', 9), ('base', 8), ('iluminador', 7), ('rosto', 7), ('pode', 7), ('tons', 7), ('make', 6), ('o', 6), ('maybelline', 5), ('sobre', 5), ('senha', 5), ('realçar', 5), ('cor', 5), ('deixando', 5), ('dicas', 5), ('possui', 5), ('bases', 5), ('manchas', 5), ('olhos', 4), ('0', 4), ('ter', 4), ('diferentes', 4), ('conta', 4), ('email', 4), ('privacidade', 4), ('a', 4), ('batom', 4), ('escolher', 4), ('hora', 4), ('efeito', 4), ('matte', 4), ('ir', 3), ('connect', 3), ('no', 3), ('new', 3), ('lábios', 3), ('america', 3), ('fazer', 3), ('poder', 3), ('melhor', 3), ('super', 3), ('termos', 3), ('uso', 3), ('na', 3), ('sua', 3), ('enviar', 3), ('é', 3), ('maybellinecom', 3), ('cadastrese', 3), ('política', 3), ('pois', 3), ('cobertura', 3), ('peles', 3), ('possuem', 3), ('por', 3)]"
mayore,"[('pele', 31), ('tons', 17), ('maquiagem', 15), ('negra', 14), ('tom', 13), ('mayore', 11), ('produtos', 8), ('cores', 7), ('base', 6), ('beauty', 5), ('a', 5), ('se', 5), ('subtom', 5), ('pode', 5), ('maior', 4), ('negras', 4), ('dicas', 4), ('alta', 4), ('e', 4), ('beleza', 4), ('2022', 4), ('produto', 4), ('o', 4), ('contorno', 4), ('no', 3), ('todos', 3), ('texturas', 3), ('aspecto', 3), ('search', 3), ('como', 3), ('para', 3), ('caso', 3), ('vai', 3), ('opte', 3), ('blush', 3), ('25', 3), ('matte', 3), ('combinam', 3), ('marcas', 3), ('peles', 3), ('teste', 3), ('hora', 3), ('escolher', 3), ('clara', 3), ('junho', 3)]"
na telinha,"[('base', 21), ('pele', 17), ('matte', 12), ('publicidade', 11), ('continua', 8), ('melhor', 7), ('cor', 7), ('botão', 7), ('dia', 7), ('vai', 6), ('média', 6), ('verão', 6), ('fé', 6), ('subtom', 6), ('cobertura', 6), ('preço', 6), ('negra', 5), ('novelas', 5), ('famosos', 5), ('o', 5), ('bases', 5), ('5', 5), ('de', 5), ('descubra', 4), ('tom', 4), ('fundo', 4), ('no', 4), ('ajuda', 4), ('óleo', 4), ('sobre', 4), ('redes', 4), ('além', 4), ('a', 4), ('fácil', 4), ('acabamento', 4), ('notícias', 4), ('2024', 4), ('dieta', 4), ('influencer', 3), ('produtos', 3), ('em', 3), ('quente', 3), ('make', 3), ('imperfeições', 3), ('ácido', 3), ('hialurônico', 3), ('moneke', 3), ('r', 3), ('4', 3), ('mercado', 3), ('guiga', 3), ('demais', 3), ('e', 3), ('hora', 3), ('neutro', 3), ('enquanto', 3), ('permite', 3), ('líquida', 3), ('já', 3), ('clara', 3), ('natural', 3), ('econômica', 3), ('avon', 3), ('mais', 3), ('notícia', 3), ('enviar', 3)]"
negocios de beleza,"[('pele', 46), ('negra', 27), ('maquiagem', 26), ('tons', 23), ('beleza', 22), ('tom', 14), ('base', 14), ('produtos', 11), ('impecável', 10), ('aplique', 9), ('áreas', 9), ('para', 8), ('pó', 8), ('indústria', 8), ('dia', 8), ('rosto', 8), ('escolha', 7), ('destaque', 7), ('profissionais', 7), ('natural', 7), ('corretivo', 6), ('maçãs', 6), ('criar', 6), ('min', 6), ('leitura', 6), ('brasil', 6), ('acabamento', 6), ('cobertura', 6), ('cada', 5), ('olhos', 5), ('brilho', 5), ('lábios', 5), ('opte', 5), ('experimente', 5), ('mercado', 5), ('seguida', 5), ('varejo', 4), ('todos', 4), ('beauty', 4), ('aparência', 4), ('em', 4), ('iluminador', 4), ('sombra', 4), ('visual', 4), ('radiante', 4), ('aqui', 4), ('marcas', 4), ('manter', 4), ('passo', 4), ('perfeitamente', 4), ('contorno', 4), ('efeito', 4), ('especiais', 3), ('8', 3), ('crescimento', 3), ('mulheres', 3), ('diferentes', 3), ('sobre', 3), ('técnicas', 3), ('cílios', 3), ('deslumbrantes', 3), ('especialmente', 3), ('negras', 3), ('garantir', 3), ('deslumbrante', 3), ('1', 3), ('longo', 3), ('textura', 3), ('escuro', 3), ('nariz', 3), ('looks', 3), ('look', 3), ('ganha', 3), ('opinião', 3), ('eventos', 3), ('evento', 3), ('buscando', 3), ('o', 3), ('todo', 3), ('cuidados', 3), ('única', 3), ('não', 3), ('características', 3), ('anos', 3), ('peles', 3), ('além', 3), ('profundos', 3), ('pessoa', 3), ('realçam', 3), ('2', 3), ('tipo', 3), ('3', 3), ('alta', 3), ('linha', 3), ('dicas', 3), ('leve', 3), ('noite', 3)]"
negras do brasil,"[('1', 38), ('2', 29), ('2019', 18), ('2016', 18), ('2015', 18), ('2017', 17), ('4', 15), ('2020', 14), ('3', 14), ('fenty', 13), ('negras', 12), ('maquiagem', 12), ('blog', 12), ('jan', 12), ('brasil', 11), ('jun', 10), ('ago', 10), ('abr', 10), ('nov', 10), ('fev', 10), ('sephora', 10), ('resenha', 9), ('blogueiras', 9), ('negra', 8), ('out', 8), ('set', 8), ('base', 8), ('dicas', 8), ('dez', 8), ('beauty', 7), ('pele', 6), ('mar', 6), ('mai', 6), ('opinião', 6), ('2022', 6), ('2018', 6), ('crespos', 5), ('aqui', 5), ('cabelos', 5), ('empresa', 5), ('eudora', 4), ('skin', 4), ('perfection', 4), ('mathias', 4), ('blogger', 4), ('jul', 4), ('influenciadores', 4), ('produtos', 4), ('cabelo', 4), ('sheila', 4), ('dia', 4), ('arquivo', 4), ('5', 4), ('by', 4), ('chegou', 4), ('lançamento', 4), ('público', 4), ('mim', 3), ('ainda', 3), ('pra', 3), ('marca', 3), ('rihanna', 3), ('pessoas', 3), ('brancas', 3), ('cacheados', 3), ('belo', 3), ('horizonte', 3), ('blogueira', 3), ('negros', 3)]"
oceane,"[('the', 35), ('cookies', 24), ('maquiagem', 20), ('pele', 20), ('to', 16), ('océane', 15), ('cookie', 15), ('negra', 14), ('in', 13), ('consent', 13), ('of', 11), ('is', 11), ('cores', 11), ('—', 11), ('pode', 10), ('make', 9), ('website', 9), ('are', 9), ('experts', 9), ('tons', 9), ('used', 8), ('a', 8), ('and', 8), ('para', 7), ('opte', 7), ('cor', 7), ('these', 7), ('user', 7), ('selectors', 6), ('search', 6), ('skincare', 6), ('astrologia', 6), ('bemestar', 6), ('produtos', 6), ('set', 6), ('store', 6), ('category', 6), ('post', 6), ('cabelos', 6), ('cultura', 6), ('coreana', 6), ('inside', 6), ('sempre', 6), ('by', 6), ('gdpr', 6), ('tom', 5), ('escolha', 5), ('utilizar', 5), ('você', 5), ('veja', 5), ('content', 5), ('rosto', 5), ('makes', 5), ('dia', 5), ('your', 5), ('plugin', 5), ('visitors', 5), ('10', 4), ('only', 4), ('use', 4), ('ideais', 4), ('região', 4), ('olhar', 4), ('inspirações', 4), ('monthsthis', 4), ('performance', 4), ('blog', 4), ('o', 4), ('produto', 4), ('se', 4), ('ok', 4), ('tonalidades', 4), ('you', 4), ('política', 4), ('necessary', 4), ('arrasar', 3), ('title', 3), ('type', 3), ('leitura', 3), ('sombra', 3), ('então', 3), ('antes', 3), ('as', 3), ('super', 3), ('receber', 3), ('ar', 3), ('fundos', 3), ('comprar', 3), ('fazer', 3), ('bronze', 3), ('rosa', 3), ('iluminador', 3), ('pontos', 3), ('outros', 3), ('maquiagens', 3), ('smart', 3), ('ajuda', 3), ('meus', 3), ('functionalities', 3), ('help', 3), ('understand', 3), ('functional', 3), ('provide', 3), ('advertisement', 3), ('truques', 3), ('generic', 3), ('exact', 3), ('matches', 3), ('menu', 3), ('melhores', 3), ('6', 3), ('escolher', 3), ('iluminadores', 3), ('incríveis', 3), ('eles', 3), ('base', 3), ('preferência', 3), ('luz', 3), ('dourado', 3), ('azul', 3), ('paletas', 3), ('marsala', 3), ('gloss', 3), ('lançamento', 3), ('linha', 3), ('instagram', 3), ('experience', 3), ('that', 3), ('on', 3), ('with', 3), ('not', 3)]"
portal luneta,"[('2023', 11), ('pele', 9), ('produtos', 9), ('tons', 9), ('2022', 7), ('2021', 7), ('luneta', 6), ('os', 6), ('a', 6), ('nova', 6), ('negra', 5), ('compartilhar', 5), ('janelaclique', 5), ('maio', 5), ('portal', 5), ('falta', 4), ('maquiagem', 4), ('wordpresscom', 4), ('dezembro', 4), ('janeiro', 4), ('conta', 4), ('junho', 4), ('2024', 4), ('2018', 4), ('maquiagens', 3), ('preta', 3), ('ferreira', 3), ('mulheres', 3), ('tom', 3), ('caso', 3), ('pós', 3), ('marca', 3), ('comentário', 3), ('site', 3), ('agosto', 3), ('abril', 3), ('março', 3), ('2019', 3), ('laurelferreirabrito', 3), ('por', 3), ('laurel', 3), ('dificuldade', 3), ('novembro', 3), ('outubro', 3)]"
