like_count,text,video_id,public,tokens,word_count,sentiment
0,Que triste Ju é difícil as marcas acertarem nos tons né 😢,nxdjgqKkOlI,True,"['triste', 'difícil', 'marcas', 'acertarem', 'tons', 'n']",6,0.0
0,"Eu tenho o contorno da Sheglam mas não deu certo porque é muito frio pro meu tom de pele que é media. Comprei o Golden Sun. Ainda bem que minha filha vai poder usar, ela é bem branquela kkkk só tem 5 aninhos e já ama usar contorno e blush cremoso. ❤❤❤",nxdjgqKkOlI,True,"['contorno', 'chegam', 'deu', 'certo', 'porque', 'frio', 'pro', 'tom', 'pele', 'media', 'comprei', 'golpes', 'sun', 'ainda', 'bem', 'filha', 'vai', 'poder', 'usar', 'bem', 'branqueja', 'kkkk', 's', 'anjinhos', 'j', 'ama', 'usar', 'contorno', 'blusa', 'cremos']",30,0.3
2,"Obrigada, agora sim, eu sei passar longe de maquiagens não tão boas. Graças a vc🥰😍



Pois se não ja basta ser pobre",nxdjgqKkOlI,True,"['obrigada', 'agora', 'sim', 'sei', 'passar', 'longe', 'maquiagens', 'to', 'boas', 'gras', 'vá', 'pois', 'ja', 'basta', 'pobre']",15,0.0
0,"Ju, o corretivo não tem um cor mais quente? Pq ele é tão tão bom",nxdjgqKkOlI,True,"['corretivo', 'cor', 'quente', 'pa', 'to', 'to', 'bom']",7,0.0
0,"Adoro videos longos... tipos o Karenflix kkkkkk
Faltou vc falar a cor do corretivo!!",nxdjgqKkOlI,True,"['adoro', 'vidros', 'longos', 'tipos', 'karenflix', 'kkkkkk', 'faltou', 'vá', 'falar', 'cor', 'corretivo']",11,0.0
0,Amo vídeo longo! Sinto muito que os produtos não serviram. Espero que Sheglam reveja isso. Difícil viu,nxdjgqKkOlI,True,"['amo', 'longo', 'sinto', 'produtos', 'serviram', 'espero', 'chegam', 'revela', 'difícil', 'viu']",10,0.0
0,"Eu acho que a palma da mão de quase todo mundo é diferente. No meu caso, a palma da mão é mais escura. Tenho o rosto branco e a palma da mão rosa meio azulada por causa das veias 😂😂😂",nxdjgqKkOlI,True,"['acho', 'palma', 'mo', 'quase', 'todo', 'mundo', 'diferente', 'caso', 'palma', 'mo', 'escura', 'rosto', 'branco', 'palma', 'mo', 'rosa', 'meio', 'azulada', 'causa', 'veias']",20,0.0
4,Não sei se sabe mas a SheGlam vende amostra de base para testar. Eu comprei várias para testar as texturas e as cores.,nxdjgqKkOlI,True,"['sei', 'sabe', 'chegam', 'vende', 'amostra', 'base', 'testar', 'comprei', 'frias', 'testar', 'torturas', 'cores']",12,-0.8
15,"Eu gosto de vídeo longo, especialmente se for de preparação de pele. Faz sim! ❤",nxdjgqKkOlI,True,"['gosto', 'longo', 'especialmente', 'preparar', 'pele', 'faz', 'sim']",7,0.0
0,"Comprei 3 amostras das bases pra testar, a que o app dizia que era meu tom (Nutmeg) ficou muito estranho, porque parece que é meu tom mas tem um fundo branco. Sem falar que a base parece que NAO SECA odiei que ficou tudo grudento, nem no ventilador assentou. E me deu crise de dermatite",nxdjgqKkOlI,True,"['comprei', 'amostras', 'bases', 'pra', 'testar', 'ape', 'dizia', 'tom', 'numes', 'ficou', 'estranho', 'porque', 'parece', 'tom', 'fundo', 'branco', 'falar', 'base', 'parece', 'seca', 'odiei', 'ficou', 'tudo', 'prudente', 'ventilar', 'assentou', 'deu', 'crise', 'dermatite']",29,-0.8
2,Eu amo um vídeo longo❤,nxdjgqKkOlI,True,"['amo', 'longo']",2,0.0
1,A cor no site e na vida real😮,nxdjgqKkOlI,True,"['cor', 'vite', 'vida', 'real']",4,0.0
1,O Primer prometendo um milagre😂,nxdjgqKkOlI,True,"['primor', 'prometendo', 'milagre']",3,0.0
1,Like 248,nxdjgqKkOlI,True,['lixe'],1,0.0
0,"Concordo Juh...vish nada ficou bom no seu tom, realmente lamentável 😢😊",nxdjgqKkOlI,True,"['concordo', 'juhvish', 'nada', 'ficou', 'bom', 'tom', 'realmente', 'lamentável']",8,0.0
6,"Ju, a textura desse corretivo parece ser pavorosa, embora você tenha dito que não marcou as linhas de expressão dá a sensação de que tem 1kg de corretivo na área dos olhos. Obrigada por me fazer economizar meu dinheirinho com esses testes. Kkkkkkk eu apostava muito no blush, mas a pigmentação não é a que outras blogs e as propagandas mostram. 😢",nxdjgqKkOlI,True,"['ventura', 'desse', 'corretivo', 'parece', 'pavorosa', 'embora', 'dito', 'marcou', 'linhas', 'expresso', 'd', 'sensaço', 'k', 'corretivo', 'rea', 'olhos', 'obrigada', 'fazer', 'economizar', 'dinheirinho', 'tentes', 'kkkkkkk', 'apostava', 'blusa', 'pimentão', 'outras', 'bons', 'propaganda', 'mostram']",29,0.0
0,Amoo aqueles videos “filme” de tão longos hahaha,nxdjgqKkOlI,True,"['amoo', 'vidros', 'firme', 'to', 'longos', 'havana']",6,0.2
0,Marav estar cheia de novidades,nxdjgqKkOlI,True,"['cheia', 'novidades']",2,0.0
0,Ju volta testar maquiagem baratinha,nxdjgqKkOlI,True,"['volta', 'testar', 'maquinem', 'barbinha']",4,0.0
1,"Ju estou aguardando você lançar sua marca, tem tudo a ver com nossa pele negra. Com relação a esses produtos do vídeo, não achei interessante, só pela sua reação, vai dar ruim mesmo... bjos minha linda 🌹",nxdjgqKkOlI,True,"['aguardando', 'lançar', 'marca', 'tudo', 'ver', 'pele', 'negra', 'relho', 'produtos', 'achei', 'interessante', 's', 'real', 'vai', 'dar', 'ruim', 'ojos', 'linda']",18,0.0
0,"concordo com sua teoria, prefiro vídeos longos",nxdjgqKkOlI,True,"['concordo', 'teoria', 'prefiro', 'vamos', 'longos']",5,0.0
0,amo video looongo,nxdjgqKkOlI,True,"['amo', 'vidro', 'longo']",3,0.0
0,Eu amos seu vídeo e se fosse longo eu adoraria,nxdjgqKkOlI,True,"['amos', 'longo', 'adoraria']",3,0.0
0,Quero vídeo longo juflix😂❤,nxdjgqKkOlI,True,"['quero', 'longo', 'juflix']",3,0.0
0,"Ju testa os produtos da "" nem so de blush"" tô doido no iluminador efeito molhado deles❤",nxdjgqKkOlI,True,"['testa', 'produtos', 'so', 'blusa', 't', 'doido', 'iluminador', 'efeito', 'molhado']",9,0.0
4,"Amo vídeos longos, faz por favor Ju 🥺",nxdjgqKkOlI,True,"['amo', 'vamos', 'longos', 'faz', 'favor']",5,0.0
0,Tava eu querendo comprar um corretivo da Sheglam e me aparece esse vídeo 😂😂,nxdjgqKkOlI,True,"['taba', 'querendo', 'comprar', 'corretivo', 'chegam', 'aparece']",6,0.0
0,"Eu curto videos longos explicativos kkk, e concordo com tudo o que tu falou !",nxdjgqKkOlI,True,"['curto', 'vidros', 'longos', 'explicativos', 'k', 'concordo', 'tudo', 'falou']",8,0.0
0,"Realmente nem aqui e nem na China nunca foi tão real.

Deu bom não,  dona Shein!
Melhore.

Você é mara, Ju! 🤎🫠

Ahhhh, editando:
Amo vídeos longos,  só vem!",nxdjgqKkOlI,True,"['realmente', 'aqui', 'clina', 'nunca', 'to', 'real', 'deu', 'bom', 'dona', 'hein', 'melhores', 'ahhhh', 'deitando', 'amo', 'vamos', 'longos', 's', 'vem']",18,0.390625
28,"Poxa Ju, a gente cria uma expectativa tão grande e dá tristeza ver que os produtos não performa na nossa pele.",nxdjgqKkOlI,True,"['puxa', 'gente', 'cria', 'expectativa', 'to', 'grande', 'd', 'tristeza', 'ver', 'produtos', 'reforma', 'pele']",12,0.0
2,"Ju eu gosto da vídeos longos , um passo de cada vez e explicando cada detalhes ❤❤❤❤",nxdjgqKkOlI,True,"['gosto', 'vamos', 'longos', 'passo', 'cada', 'vez', 'explicando', 'cada', 'detalhes']",9,0.0
0,Eu adoro vídeos longos,nxdjgqKkOlI,True,"['adoro', 'vamos', 'longos']",3,0.0
1,Adoro vídeos longos♡,nxdjgqKkOlI,True,"['adoro', 'vamos', 'longos']",3,0.0
0,""" Nem aqui nem na China "" nunca foi tão literal hahaha",nxdjgqKkOlI,True,"['aqui', 'clina', 'nunca', 'to', 'literal', 'havana']",6,0.2
4,"Ahhhhh, estava ansiosa para esse vídeo. Testando produtos da sheglam❤❤",nxdjgqKkOlI,True,"['ahhhhh', 'ansiosa', 'tentando', 'produtos', 'chegam']",5,0.0
23561,"Espero que tenham gostado porque tentei ser o mais transparente possível. Não acho justo indicar algo que vai fazer vocês gastarem grana se não funciona. Eu sei que as pessoas vão comentar: se não funciona e não tem compra de outra marca. Sim, é assim que tem que ser. Só que eu sou produtora de conteúdo e preciso buscar informações para o meu público e fazer com que eles não precisem passar por algumas dificuldades. Amo vocês e espero que compreendam meu trabalho nessa plataforma.",c3Ns-AgD-Vg,True,"['espero', 'gostado', 'porque', 'tentei', 'transparente', 'possivel', 'acho', 'justo', 'indicar', 'algo', 'vai', 'fazer', 'gostarem', 'grana', 'funciona', 'sei', 'pessoas', 'vo', 'comentar', 'funciona', 'compra', 'outra', 'marca', 'sim', 'assim', 's', 'produtora', 'contudo', 'preciso', 'buscar', 'informaçes', 'público', 'fazer', 'precisam', 'passar', 'algumas', 'dificuldades', 'amo', 'espero', 'compreendam', 'trabalho', 'nessa', 'plataforma']",43,0.0
0,Camila eu sou negra,c3Ns-AgD-Vg,True,"['camisa', 'negra']",2,0.0
0,Camila você bebê Refrigerante,c3Ns-AgD-Vg,True,"['camisa', 'bem', 'refrigerante']",3,0.0
0,Camila você comer besteira,c3Ns-AgD-Vg,True,"['camisa', 'comer', 'festeira']",3,0.0
0,Camila você é negra,c3Ns-AgD-Vg,True,"['camisa', 'negra']",2,0.0
0,"Eu errei ja compra assim, na internet a juliana se aproximava do meu tom, quando passei fiquei branca, tem que ser revisto as imagens, pois, estão completamente erradas, a Márcia ficou cinza em mim, nem sei se quero mais tentar!!😢",c3Ns-AgD-Vg,True,"['errei', 'ja', 'compra', 'assim', 'interno', 'julgava', 'aproximava', 'tom', 'passei', 'fiquei', 'branca', 'revisto', 'imagens', 'pois', 'esto', 'completamente', 'erradas', 'macia', 'ficou', 'cinza', 'mim', 'sei', 'quero', 'tentar']",24,0.0
1,eu gostei muito 😀😘😍,c3Ns-AgD-Vg,True,['gostei'],1,0.0
0,Camilla  todo mundo  precisa de ajuda  você  eu todo mundo precisa de ajuda  você tem que entender,c3Ns-AgD-Vg,True,"['camisa', 'todo', 'mundo', 'precisa', 'ajuda', 'todo', 'mundo', 'precisa', 'ajuda', 'entender']",10,0.0
0,Eu tô preocupada com você é só isso,c3Ns-AgD-Vg,True,"['t', 'preocupada', 's']",3,0.0
0,Pois é,c3Ns-AgD-Vg,True,['pois'],1,0.0
0,Camilla  eu  sou  morena  clara  minha base  é  1a,c3Ns-AgD-Vg,True,"['camisa', 'morena', 'clara', 'base']",4,-0.8
0,Com certeza  tá errado,c3Ns-AgD-Vg,True,"['certeza', 't', 'errado']",3,0.0
0,Se você não gosta  ninguém  não te  forçar,c3Ns-AgD-Vg,True,"['gosta', 'ninguem']",2,0.0
0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1,0.0
